TeamName,TeamID,Season,Seed,G,W,L,Eff,FGM,FG%,eFG%,FGA,FGM3,FG3%,FGA3,FTM,FT%,FTA,OR,ORB%,DR,DRB%,Ast,TO,TOV%,Stl,Blk,PF,OFGM,OFGA,OFG%,OeFG%,OFGM3,OFGA3,OFG3%,OFTM,OFTA,OFT%,OOR,OORB%,ODR,ODRB%,OAst,OTO,OTOV%,OStl,OBlk,OPF
Abilene Chr,1101,2014,0.0,0.3,0.058823529411764705,0.6551724137931034,0.1509240343959333,0.0392156862745098,0.34214147910199566,0.38493612788937354,0.134180790960452,0.14726027397260275,0.629271064144083,0.10226049515608181,0.1786492374727669,0.7362664489606254,0.13403614457831325,0.06982543640897755,0.3538236177376025,0.08814589665653495,0.3036817433247527,0.01383399209486166,0.347953216374269,0.7594900067696534,0.11904761904761904,0.017167381974248927,0.32007952286282304,0.49165596919127086,0.6206392509027229,0.07884838704331855,0.10990629214011005,0.6339362618432386,0.6203249129697401,0.2636765064762241,0.44639233204153483,0.4579224329604186,0.36778963780283036,0.5812517031519667,0.16594452314552438,0.5563371698211766,0.2711213568618186,0.44158730850530625,0.7369650118774408,0.3412377858851249,0.5189607757996815,0.23949579831932777,0.6605930595378646
Abilene Chr,1101,2015,0.0,0.65,0.20588235294117646,0.7241379310344828,0.23346714808304428,0.2815126050420168,0.33837913967242367,0.39163521716059485,0.4371468926553672,0.363013698630137,0.6535985925126779,0.2766415500538213,0.11982570806100218,0.6624693788306447,0.09487951807228916,0.22693266832917705,0.32574037459939104,0.2750759878419453,0.30294445579684165,0.2549407114624506,0.4766081871345029,0.5621901715665321,0.272108843537415,0.02575107296137339,0.5666003976143141,0.2970894213431519,0.36676118654118073,0.1469329183744286,0.15255180365053603,0.3648339830622395,0.34856620364966345,0.26841328270090314,0.3257820196723363,0.3070612232654409,0.5057526732398272,0.33402628519079663,0.16546217594055712,0.22904450858271297,0.24709218402259306,0.3520426241125444,0.3602634001274516,0.22438433553822154,0.40947716658017647,0.1723924864063272,0.46075718901165597
Abilene Chr,1101,2016,0.0,0.6,0.2647058823529412,0.6206896551724138,0.3680079813767874,0.34173669467787116,0.5512433121929367,0.5480640001053771,0.4187853107344633,0.3013698630136986,0.5780752991240337,0.2465016146393972,0.35947712418300654,0.5773033767235147,0.34789156626506024,0.20199501246882792,0.3381842316728055,0.36322188449848025,0.5843703739631015,0.2865612648221344,0.4853801169590643,0.538509601839487,0.32653061224489793,0.16738197424892703,0.6202783300198808,0.2805128873995445,0.35048762106478176,0.14173130146755106,0.182097770026033,0.4699419888084604,0.4526974633715602,0.27079014902377496,0.24918748391647047,0.2580187099300383,0.3743119417979481,0.5147092295436441,0.39076936572718224,0.2779039203382776,0.2576797619890712,0.38820702731933704,0.3906302147855256,0.2658165780285355,0.5878430465618255,0.34203569068076667,0.31946584488957364
Abilene Chr,1101,2017,0.0,0.5,0.2647058823529412,0.5517241379310345,0.39835583638177585,0.2969187675070028,0.6481934297175863,0.6444913151487918,0.3319209039548023,0.273972602739726,0.6175335235026315,0.21205597416576966,0.10457516339869281,0.3139699984154962,0.16265060240963855,0.12219451371571072,0.2899108626654027,0.30851063829787234,0.3970813467772563,0.2707509881422925,0.4853801169590643,0.6711878347480035,0.30272108843537415,0.18025751072961374,0.5208747514910537,0.40615058324496284,0.42439434608737386,0.2871262027227349,0.2518439711248046,0.3485306354837297,0.31615620451519,0.3124763678106339,0.4157548355261271,0.36700110886962106,0.6314738507141284,0.382267550063277,0.23103771824179908,0.34863689462498765,0.21712773134619248,0.4061757719714964,0.3751595538043177,0.19790150255369124,0.49098210511483725,0.4272151898734177,0.5426741577342715
Abilene Chr,1101,2018,0.0,0.6,0.35294117647058826,0.5172413793103449,0.4638510142999667,0.4061624649859944,0.6102018533563137,0.567881696844286,0.4675141242937853,0.2671232876712329,0.3770240327254133,0.27879440258342303,0.22875816993464052,0.5666486032475406,0.22289156626506024,0.2593516209476309,0.41259174607445964,0.39209726443769,0.4787573494276457,0.33992094861660077,0.564327485380117,0.6020429171143356,0.36394557823129253,0.30472103004291845,0.5487077534791253,0.33758387966364495,0.33973863134983856,0.3198907543716154,0.30110790516520747,0.34065220215668446,0.26053460954826657,0.4584890341337519,0.30191617920866926,0.31118377926295404,0.3736094869278545,0.3755233732328457,0.2952872625629665,0.283858579012764,0.32301984019897734,0.44728668006577743,0.28303351247261327,0.17482410654906427,0.3449286750483559,0.4272151898734177,0.428374655647383
Air Force,1102,2014,0.0,0.65,0.29411764705882354,0.6206896551724138,0.3562235735664401,0.3067226890756303,0.4602918619424597,0.4973055048990856,0.4152542372881356,0.3527397260273973,0.39917065118907713,0.35306781485468247,0.2657952069716776,0.5088999988277904,0.2756024096385542,0.2593516209476309,0.40731264268910833,0.41185410334346506,0.4668081545368013,0.33992094861660077,0.5292397660818714,0.6054362811875262,0.2108843537414966,0.24034334763948498,0.4711729622266402,0.3579297908467482,0.32984720571074816,0.40069411161113005,0.3386354969878081,0.26433722858575337,0.1935360674603578,0.4497827055514358,0.2792928120012453,0.28701838189504225,0.380416840755727,0.3463797643302237,0.28540989065371536,0.2779039203382776,0.3182658507299834,0.3082414097573715,0.4806560794730265,0.351674456864044,0.25897435897435894,0.14069013432144511,0.3398164335664336
Air Force,1102,2015,0.0,0.7,0.35294117647058826,0.5862068965517241,0.47603637489535894,0.4005602240896359,0.6886595073578673,0.6998205462023598,0.4300847457627119,0.3801369863013699,0.5308294683194693,0.3304628632938644,0.10675381263616558,0.3804667553965387,0.14759036144578314,0.286783042394015,0.5202644290622526,0.3556231003039514,0.3603751615046113,0.4525691699604743,0.42105263157894735,0.4949041854662983,0.3299319727891156,0.12875536480686695,0.44731610337972166,0.3524135134074387,0.3409902615408505,0.3562171780336115,0.24602747543186673,0.17225068979109184,0.150474644457776,0.2878418224254756,0.5228363090314454,0.5031566758870397,0.4893517563125541,0.30462840098442834,0.20447508547108212,0.37013778236010875,0.42419773619593165,0.23823264304219413,0.3997414675719115,0.25226387424764635,0.3869364235055724,0.23949579831932777,0.38943150513398445
Air Force,1102,2016,0.0,0.75,0.35294117647058826,0.6206896551724138,0.3587163285666777,0.4173669467787115,0.4386086824530857,0.42143921997405204,0.556497175141243,0.3150684931506849,0.4249608970579296,0.3078579117330463,0.4139433551198257,0.4423834060620667,0.44728915662650603,0.3092269326683292,0.33360417153549465,0.601823708206687,0.5624556395723362,0.3715415019762846,0.5847953216374269,0.5000962283152133,0.3299319727891156,0.09871244635193133,0.5725646123260437,0.25138970370413394,0.2140923459712431,0.4296660640547952,0.2999355092746278,0.09397475722721295,0.05218577877327295,0.3808910359474396,0.30191617920866926,0.31256666197098065,0.36715230562199097,0.28252591145402167,0.36965768029783036,0.14225112462997924,0.25377191584476977,0.2053035672739274,0.3022264377500517,0.2728335739763243,0.25897435897435894,0.12980769230769235,0.18403474283880292
Air Force,1102,2017,0.0,0.8,0.29411764705882354,0.7241379310344828,0.43822049626141146,0.49299719887955185,0.47191324834970083,0.5129194627369954,0.6299435028248588,0.5102739726027398,0.5748305732829948,0.4284176533907427,0.4793028322440087,0.6158567230775689,0.45180722891566266,0.38154613466334164,0.41149157423089305,0.6291793313069909,0.7230282429963013,0.48616600790513836,0.5584795321637427,0.41503014353007006,0.3299319727891156,0.12446351931330472,0.5228628230616302,0.17956563580666876,0.18323954959312766,0.29897731118395154,0.17990056938045618,0.05531250799498555,0.034714433375118155,0.28757840352432745,0.3776743313826825,0.396006976494284,0.33677384732346427,0.42125153691839773,0.5435674642364995,0.14719147191471915,0.32202757323002124,0.13224259957138218,0.35818041567528214,0.34319643542817263,0.25897435897435894,0.22365196078431368,0.1581226197569885
Air Force,1102,2018,0.0,0.7,0.29411764705882354,0.6551724137931034,0.3827161909567331,0.36554621848739494,0.342989788720436,0.40634142231922493,0.53954802259887,0.4554794520547945,0.37797496097583083,0.4607104413347686,0.29193899782135074,0.705330711792515,0.2469879518072289,0.36159600997506236,0.44507437543246686,0.439209726443769,0.5312782429479304,0.3952569169960474,0.5087719298245614,0.47227034545190694,0.3435374149659864,0.21030042918454936,0.46520874751491054,0.2612366817978691,0.27417191641649835,0.2828799997273648,0.16927914681875642,0.10737442724993514,0.12571753899534455,0.1369245532324416,0.4706538070081908,0.48897096604544604,0.34211355470723537,0.382267550063277,0.3408422190214423,0.19899641158794523,0.35268461061648576,0.23139771904112122,0.30582807311075616,0.2173297958635654,0.4211649592855266,0.24498020361990952,0.2982055613898909
